"STATION","NAME","DATE","AWND","PGTM","PRCP","TAVG","TMAX","TMIN","TOBS","WDF2","WSF2","WT01","WT02","WT04","WT06","WT08","WT09"
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-01",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-02",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-03",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-04",,,"0.03",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-05",,,"0.21",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-06",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-07",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-08",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-09",,,"0.01",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-10",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-11",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-12",,,"0.03",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-13",,,"2.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-14",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-15",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-16",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-17",,,"0.20",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-18",,,"0.05",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-19",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-20",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-21",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-22",,,"0.01",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-23",,,"0.57",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-24",,,"0.07",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-25",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-26",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-27",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-28",,,"0.14",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-29",,,"0.04",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-30",,,"0.02",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-01-31",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-01",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-02",,,"0.14",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-03",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-04",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-05",,,"0.78",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-06",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-07",,,"0.00",,,,,,,,,,,,
"US1NJMS0049","FLORHAM PARK 0.2 WNW, NJ US","2018-02-08",,,"1.05",,,,,,,,,,,,
